Datum,Ort,Uhrzeit,Dauer,Teilnehmer
05.12.22,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,17
12.12.22,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,16
17.12.22,Sackring 13,18:00 Uhr - 20:00 Uhr,2.0,12
19.12.22,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,14
02.01.23,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,12
07.01.23,Sackring 13,18:00 Uhr - 20:00 Uhr,2.0,17
09.01.23,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,20
14.01.23,Sackring 13,18:00 Uhr - 20:00 Uhr,2.0,19
16.01.23,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,24
23.01.23,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,16
28.01.23,Sackring 13,18:00 Uhr - 20:00 Uhr,2.0,13
30.01.23,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,17
04.02.23,Sackring 13,18:00 Uhr - 20:00 Uhr,2.0,21
06.02.23,"Rote Wiese 9, 38124 BS",20:00 Uhr - 22:00 Uhr,2.0,18
11.02.23,Sackring 13,18:00 Uhr - 20:00 Uhr,2.0,7
13.02.23,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,17
18.02.23,Sackring 13,18:00 Uhr - 20:00 Uhr,2.0,18
20.02.23,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,15
25.02.23,Sackring 13,18:00 Uhr - 20:00 Uhr,2.0,12
27.02.23,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,19
04.03.23,Sackring 13,18:00 Uhr - 21:00 Uhr,3.0,0
06.03.23,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,14
13.03.23,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,19
18.03.23,Sackring 13,18:00 Uhr - 21:00 Uhr,3.0,10
20.03.23,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,16
27.03.23,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,17
03.04.23,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,17
06.04.23,"Rheinring 14, 38120 BS",19:30 Uhr - 22:00 Uhr,2.5,10
13.04.23,"Rheinring 14, 38120 BS",19:30 Uhr - 22:00 Uhr,2.5,16
17.04.23,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,28
20.04.23,"Rheinring 14, 38120 BS",19:30 Uhr - 22:00 Uhr,2.5,11
24.04.23,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,22
27.04.23,"Rheinring 14, 38120 BS",19:30 Uhr - 22:00 Uhr,2.5,18
01.05.23,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,21
04.05.23,"Rheinring 14, 38120 BS",19:30 Uhr - 22:00 Uhr,2.5,14
08.05.23,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,20
15.05.23,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,15
18.05.23,"Rheinring 14, 38120 BS",19:30 Uhr - 22:00 Uhr,2.5,16
22.05.23,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,21
25.05.23,"Rheinring 14, 38120 BS",19:30 Uhr - 22:00 Uhr,2.5,15
29.05.23,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,17
01.06.23,"Rheinring 14, 38120 BS",19:30 Uhr - 22:00 Uhr,2.5,15
05.06.23,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,26
12.06.23,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,19
15.06.23,"Rheinring 14, 38120 BS",19:30 Uhr - 22:00 Uhr,2.5,15
19.06.23,"Rote Wiese 9, 38124 BS",19:30 Uhr - 22:00 Uhr,2.5,21
